KeyWords,DOI,abstract,category,type,public_date,fund,author,jounary,author info,title
作者关键词:COVID-19; 2019-nCOV; Dual-source CT; Spectral shaping; Low-dose CT; Chest radiology,10.1007/s11547-020-01179-x,"摘要
Aim To subjectively and objectively evaluate the feasibility and diagnostic reliability of a low-dose, long-pitch dual-source chest CT protocol on third-generation dual-source CT (DSCT) with spectral shaping at 100Sn kVp for COVID-19 patients. Materials and methods Patients with COVID-19 and positive swab-test undergoing to a chest CT on third-generation DSCT were included. The imaging protocol included a dual-energy acquisition (HD-DECT, 90/150Sn kVp) and fast, low-dose, long-pitch CT, dual-source scan at 100Sn kVp (LDCT). Subjective (Likert Scales) and objective (signal-to-noise and contrast-to-noise ratios, SNR and CNR) analyses were performed; radiation dose and acquisition times were recorded. Nonparametric tests were used. Results The median radiation dose was lower for LDCT than HD-DECT (Effective dose, ED: 0.28 mSv vs. 3.28 mSv, p = 0.016). LDCT had median acquisition time of 0.62 s (vs 2.02 s, p = 0.016). SNR and CNR were significantly different in several thoracic structures between HD-DECT and LDCT, with exception of lung parenchyma. Qualitative analysis demonstrated significant reduction in motion artifacts (p = 0.031) with comparable diagnostic reliability between HD-DECT and LDCT. Conclusions Ultra-low-dose, dual-source, fast CT protocol provides highly diagnostic images for COVID-19 with potential for reduction in dose and motion artifacts.","研究方向:Radiology, Nuclear Medicine & Medical Imaging",文献类型:Article,出版年: APR 2020,,"作者:Agostini, A (Agostini, Andrea)[ 1,2 ] ; Floridi, C (Floridi, Chiara)[ 1,2 ] ; Borgheresi, A (Borgheresi, Alessandra)[ 2 ] ; Badaloni, M (Badaloni, Myriam)[ 2 ] ; Pirani, PE (Pirani, Paolo Esposto)[ 2 ] ; Terilli, F (Terilli, Filippo)[ 2 ] ; Ottaviani, L (Ottaviani, Letizia)[ 2 ] ; Giovagnoni, A (Giovagnoni, Andrea)[ 1,2 ]",RADIOLOGIA MEDICA,"Univ Hosp Umberto I Lancisi Salesi, Dept Radiol, Div Special & Pediat Radiol, Via Conca 71, I-60126 Ancona, AN, Italy.
[ 1 ] Univ Politecn Marche, Dept Clin Special & Dent Sci, Ancona, AN, Italy
[ 2 ] Univ Hosp Umberto I Lancisi Salesi, Dept Radiol, Div Special & Pediat Radiol, Via Conca 71, I-60126 Ancona, AN, Italy
","Proposal of a low-dose, long-pitch, dual-source chest CT protocol on third-generation dual-source CT using a tin filter for spectral shaping at 100 kVp for CoronaVirus Disease 2019 (COVID-19) patients: a feasibility study"
作者关键词:Clinical characteristics; Computed tomographic; Coronavirus; COVID-19; Epidemic,10.34172/aim.2020.10,"摘要
Background: In December 2019, an outbreak of a novel coronavirus disease (COVID-19; previously known as 2019-nCoV) was reported in Wuhan, Hubei province, China, which has subsequently affected more than 200 countries worldwide including Europe, North America, Oceania, Africa and other places. The number of infected people is rapidly increasing, while the diagnostic method of COVID-19 is only by nucleic acid testing.

Objective: To explain the epidemiological characteristics, clinical features, imaging manifestations and to judge diagnostic value of COVID-19 by analyzing the clinical data of COVID-19 suspected and confirmed patients in a non-outbreak, Shanghai, China. To clarify the early epidemiology and clinical characteristics about COVID-19.

Methods: Cross-sectional, single-center case reports of the 86 patients screened at Zhoupu Hospital in Pudong New District, Shanghai, China, from January 23 to February 16, 2020. Epidemiology, demography, clinical, laboratory and chest CTs were collected and analyzed. The screened patients were divided into COVID-19 and non-COVID-19 based on nucleic acid test results.

Results: Of the 86 screened patients, 11 were confirmed (12.8%) by nucleic acid testing (mean age 40.73 +/- 11.32, 5 males). No significant differences were found in clinical symptoms including fever, cough, dyspnea, sore throat, and fatigue (P > 0.05). No statistical difference was observed in plasma C-reactive protein (CRP) between the two groups (COVID-19 and non-COVID-19) of patients (P = 0.402), while the white blood cell count and lymphocyte count of the confirmed patients were slightly lower than those of the suspected patients (P < 0.05). Some non-COVID-19 chest CTs also showed subpleural lesions, such as ground-glass opacities (GGO) combined with bronchiectasis; or halo nodules distributed under the pleura with focal GGO; consolidation of subpleural distribution or combined with air bronchi sign and vascular bundle sign, etc.

Conclusion: The early clinical manifestations and imaging findings of COVID-19 are not characteristic in non-outbreak areas. Etiological testing should be performed as early as possible for clinically suspected patients.",研究方向:General & Internal Medicine,文献类型:Article,出版年: APR 2020,"Key Discipline of Pudong New Area, Shanghai ","作者:Peng, L (Peng, Ling)[ 1,2 ] ; Liu, KY (Liu, Kang-Yong)[ 3 ] ; Xue, F (Xue, Fei)[ 2 ] ; Miao, YF (Miao, Ya-Fang)[ 2 ] ; Tu, PA (Tu, Ping-An)[ 4 ] ; Zhou, C (Zhou, Chao)[ 2 ]",ARCHIVES OF IRANIAN MEDICINE,"1500 Zhouyuan Rd, Shanghai 201318, Peoples R China.
[ 1 ] Guizhou Med Univ, 9 Beijing Rd, Guiyang 550025, Peoples R China
[ 2 ] Shanghai Univ Med & Hlth Sci, Zhoupu Hosp, Dept Resp Med, 1500 Zhouyuan Rd, Shanghai 201318, Peoples R China
[ 3 ] Shanghai Univ Med & Hlth Sci, Zhoupu Hosp, Dept Neurol, 1500 Zhouyuan Rd, Shanghai 201318, Peoples R China
[ 4 ] Shanghai Univ Med & Hlth Sci, Zhoupu Hosp, Fac Off, 1500 Zhouyuan Rd, Shanghai 201318, Peoples R China
",Improved Early Recognition of Coronavirus Disease-2019 (COVID-19): Single-Center Data from a Shanghai Screening Hospital
作者关键词:2019-Novel coronavirus pneumonia; Clinical characteristics; Coronavirus disease 2019; Dynamic evaluation; Chest computed tomography,10.34172/aim.2020.11,"摘要
A recent outbreak of pneumonia in Wuhan, China, was caused by the 2019 novel coronavirus (2019-nCoV). There have been some reports of imaging findings regarding the disease's characteristic features. Here, we report three cases of coronavirus disease 2019 (COVID-19) with dynamic pulmonary CT evaluation. The CT scan showed multiple regions of ground-glass opacities and patchy consolidation in COVID-19 patients and the CT scan was useful in tracking the progression or regression of COVID-19.",研究方向:General & Internal Medicine,文献类型:Article,出版年: APR 2020,Shaoxing Bureau of Science and Technology ,"作者:Chen, X (Chen, Xing)[ 1 ] ; Liu, SY (Liu, Shuying)[ 1 ] ; Zhang, CY (Zhang, Chunyi)[ 1 ] ; Pu, GM (Pu, Guimei)[ 1 ] ; Sun, J (Sun, Jian)[ 1 ] ; Shen, JX (Shen, Juxin)[ 1 ] ; Chen, YF (Chen, Yefeng)[ 1 ]",ARCHIVES OF IRANIAN MEDICINE,"Zhejiang Univ, Shaoxing Peoples Hosp, Shaoxing Hosp, Sch Med, 568 Zhongxing North Rd, Shaoxing 312000, Zhejiang, Peoples R China.
[ 1 ] Zhejiang Univ, Shaoxing Peoples Hosp, Dept Resp Med, Sch Med,Shaoxing Hosp, Shaoxing 312000, Zhejiang, Peoples R China
",Dynamic Chest CT Evaluation in Three Cases of 2019 Novel Coronavirus Pneumonia
,10.34172/aim.2020.12,,研究方向:General & Internal Medicine,文献类型:Editorial Material,出版年: APR 2020,,"作者:Assari, S (Assari, Shervin)[ 1 ] ; Habibzadeh, P (Habibzadeh, Parham)[ 2 ]",ARCHIVES OF IRANIAN MEDICINE,"Shiraz Univ Med Sci, Persian BayanGene Res & Training Ctr, Shiraz, Iran.
[ 1 ] Charles R Drew Univ Med & Sci, 1621 E 120th St, Los Angeles, CA 90059 USA
[ 2 ] Shiraz Univ Med Sci, Persian BayanGene Res & Training Ctr, Shiraz, Iran
",The COVID-19 Emergency Response Should Include a Mental Health Component
,10.1093/clinchem/hvaa038,,研究方向:Medical Laboratory Technology,文献类型:Editorial Material,出版年: APR 2020,,"作者:Lo, YMD (Lo, Y. M. Dennis)[ 1,2 ] ; Chiu, RWK (Chiu, Rossa W. K.)[ 1,2 ]",CLINICAL CHEMISTRY,"Chinese Univ Hong Kong, Prince Wales Hosp, Li Ka Shing Inst Hlth Sci, Shatin, Hong Kong, Peoples R China.
Chinese Univ Hong Kong, Prince Wales Hosp, Dept Chem Pathol, Shatin, Hong Kong, Peoples R China.
[ 1 ] Chinese Univ Hong Kong, Prince Wales Hosp, Li Ka Shing Inst Hlth Sci, Shatin, Hong Kong, Peoples R China
[ 2 ] Chinese Univ Hong Kong, Prince Wales Hosp, Dept Chem Pathol, Shatin, Hong Kong, Peoples R China
",Racing Towards the Development of Diagnostics for a Novel Coronavirus (2019-nCoV)
,10.1093/clinchem/hvaa047,,研究方向:Medical Laboratory Technology,文献类型:Editorial Material,出版年: APR 2020,,"作者:Landau, M (Landau, Misia)",CLINICAL CHEMISTRY,,Racing Towards the Development of Diagnostics for a Novel Coronavirus (2019-nCoV)
作者关键词:COVID-19; 2019-nCoV; Coronavirus; Pneumonia; Tomography; X-ray computed,10.3348/kjr.2020.0112,"摘要
From December 2019, Coronavirus disease 2019 (COVID-19) pneumonia (formerly known as the 2019 novel Coronavirus [2019nCoV]) broke out in Wuhan, China. In this study, we present serial CT findings in a 40-year-old female patient with COVID-19 pneumonia who presented with the symptoms of fever, chest tightness, and fatigue. She was diagnosed with COVID-19 infection confirmed by real-time reverse-transcriptase-polymerase chain reaction. CT showed rapidly progressing peripheral consolidations and ground-glass opacities in both lungs. After treatment, the lesions were shown to be almost absorbed leaving the fibrous lesions.","研究方向:Radiology, Nuclear Medicine & Medical Imaging",文献类型:Article,出版年: APR 2020,,"作者:Wei, JP (Wei, Jiangping)[ 1 ] ; Xu, HX (Xu, Huaxiang)[ 2 ] ; Xiong, JL (Xiong, Jingliang)[ 3 ] ; Shen, QL (Shen, Qinglin)[ 4 ] ; Fan, B (Fan, Bing)[ 1 ] ; Ye, CL (Ye, Chenglong)[ 1 ] ; Dong, WT (Dong, Wentao)[ 1 ] ; Hu, FF (Hu, Fangfang)[ 1 ]",KOREAN JOURNAL OF RADIOLOGY,"Jiangxi Prov Peoples Hosp, Dept Radiol, Aiguo Rd 92, Nanchang 330006, Jiangxi, Peoples R China.
[ 1 ] Jiangxi Prov Peoples Hosp, Dept Radiol, Aiguo Rd 92, Nanchang 330006, Jiangxi, Peoples R China
[ 2 ] Jiangxi Prov Peoples Hosp, Dept Med Cosmetol, Nanchang, Jiangxi, Peoples R China
[ 3 ] Jiangxi Chest Hosp, Dept Radiol, Nanchang, Jiangxi, Peoples R China
[ 4 ] Jiangxi Prov Peoples Hosp, Inst Clin Med, Nanchang, Jiangxi, Peoples R China
",2019 Novel Coronavirus (COVID-19) Pneumonia: Serial Computed Tomography Findings
,10.4103/1995-7645.277515,,"研究方向:Public, Environmental & Occupational Health; Tropical Medicine",文献类型:Letter,出版年: APR 2020,,"作者:Joob, B (Joob, Beuy)[ 1 ] ; Wiwanitkit, V (Wiwanitkit, Viroj)[ 2,3,4 ]",ASIAN PACIFIC JOURNAL OF TROPICAL MEDICINE,"Sanitat 1 Med Acad Ctr, Bangkok, Thailand.
Dept Community Med, Pune, Maharashtra, India.
Hainan Med Univ, Haikou, Hainan, Peoples R China.
Chulalongkorn Univ, Bangkok, Thailand.
[ 1 ] Sanitat 1 Med Acad Ctr, Bangkok, Thailand
[ 2 ] Dept Community Med, Pune, Maharashtra, India
[ 3 ] Hainan Med Univ, Haikou, Hainan, Peoples R China
[ 4 ] Chulalongkorn Univ, Bangkok, Thailand
",Epitope finding in 2019 novel coronavirus (2019-nCoV): The first world report
,10.1148/radiol.2020200230,"摘要
In this retrospective case series, chest CT scans of 21 symptomatic patients from China infected with the 2019 novel coronavirus(2019-nCoV) were reviewed, with emphasis on identifying and characterizing the most common findings. Typical CT findings included bilateral pulmonary parenchymal ground-glass and consolidative pulmonary opacities, sometimes with a rounded morphology and a peripheral lung distribution. Notably, lung cavitation, discrete pulmonary nodules, pleural effusions, and lymphadenopathy were absent. Follow-up imaging in a subset of patients during the study time window often demonstrated mild or moderate progression of disease, as manifested by increasing extent and density of lung opacities. (C) RSNA, 2020","研究方向:Radiology, Nuclear Medicine & Medical Imaging",文献类型:Article,出版年: APR 2020,,"作者:Chung, M (Chung, Michael)[ 1 ] ; Bernheim, A (Bernheim, Adam)[ 1 ] ; Mei, XY (Mei, Xueyan)[ 2 ] ; Zhang, N (Zhang, Ning)[ 3 ] ; Huang, MQ (Huang, Mingqian)[ 1 ] ; Zeng, XJ (Zeng, Xianjun)[ 3 ] ; Cui, JF (Cui, Jiufa)[ 4 ] ; Xu, WJ (Xu, Wenjian)[ 4 ] ; Yang, Y (Yang, Yang)[ 2 ] ; Fayad, ZA (Fayad, Zahi A.)[ 1,2 ] ...更多内容",RADIOLOGY,"Sun Yat Sen Univ, Affiliated Hosp 5, Guangdong Prov Key Lab Biomed Imaging, Dept Radiol, 52 East Meihua Rd, Zhuhai 519000, Guangdong, Peoples R China.
[ 1 ] Icahn Sch Med Mt Sinai, Dept Diagnost Mol & Intervent Radiol, New York, NY 10029 USA
[ 2 ] Icahn Sch Med Mt Sinai, BioMed Engn & Imaging Inst, New York, NY 10029 USA
[ 3 ] Nanchang Univ, Affiliated Hosp 1, Dept Radiol, Nanchang, Jiangxi, Peoples R China
[ 4 ] Qingdao Univ, Affiliated Hosp, Dept Radiol, Qingdao, Peoples R China
[ 5 ] Sun Yat Sen Univ, Affiliated Hosp 5, Guangdong Prov Key Lab Biomed Imaging, Dept Radiol, 52 East Meihua Rd, Zhuhai 519000, Guangdong, Peoples R China
",CT Imaging Features of 2019 Novel Coronavirus (2019-nCoV)
,10.1148/radiol.2020200274,"摘要
Background: The chest CT findings of patients with 2019 Novel Coronavirus (2019-nCoV) pneumonia have not previously beendescribed in detail.

Purpose: To investigate the clinical, laboratory, and imaging findings of emerging 2019-nCoV pneumonia in humans.

Materials and Methods: Fifty-one patients (25 men and 26 women; age range 16-76 years) with laboratory-confirmed 2019-nCoV infection by using real-time reverse transcription polymerase chain reaction underwent thin-section CT. The imaging findings, clinical data, and laboratory data were evaluated.

Results: Fifty of 51 patients (98%) had a history of contact with individuals from the endemic center in Wuhan, China. Fever (49 of 51, 96%) and cough (24 of 51, 47%) were the most common symptoms. Most patients had a normal white blood cell count (37 of 51, 73%), neutrophil count (44 of 51, 86%), and either normal (17 of 51, 35%) or reduced (33 of 51, 65%) lymphocytecount. CT images showed pure ground-glass opacity (GGO) in 39 of 51 (77%) patients and GGO with reticular and/or interlobular septal thickening in 38 of 51 (75%) patients. GGO with consolidation was present in 30 of 51 (59%) patients,and pure consolidation was present in 28 of 51 (55%) patients. Forty-four of 51 (86%) patients had bilateral lung involvement,while 41 of 51 (80%) involved the posterior part of the lungs and 44 of 51 (86%) were peripheral. There were more consolidated lung lesions in patients 5 days or more from disease onset to CT scan versus 4 days or fewer ( 431 of 712 lesions vs 129 of 612 lesions; P,.001). Patients older than 50 years had more consolidated lung lesions than did those aged 50 years or younger (212 of 470 vs 198 of 854; P,.001). Follow-up CT in 13 patients showed improvement in seven (54%) patients and progression in four (31%) patients.

Conclusion: Patients with fever and/or cough and with conspicuous ground-glass opacity lesions in the peripheral and posteri or lungson CT images, combined with normal or decreased white blood cells and a history of epidemic exposure, are highly suspected of having 2019 Novel Coronavirus (2019-nCoV) pneumonia. (C) RSNA, 2020","研究方向:Radiology, Nuclear Medicine & Medical Imaging",文献类型:Article,出版年: APR 2020,,"作者:Song, FX (Song, Fengxiang)[ 1 ] ; Shi, NN (Shi, Nannan)[ 1 ] ; Shan, F (Shan, Fei)[ 1 ] ; Zhang, ZY (Zhang, Zhiyong)[ 1,3 ] ; Shen, J (Shen, Jie)[ 1 ] ; Lu, HZ (Lu, Hongzhou)[ 2 ] ; Ling, Y (Ling, Yun)[ 2 ] ; Jiang, YB (Jiang, Yebin)[ 4 ] ; Shi, YX (Shi, Yuxin)[ 1,5 ]",RADIOLOGY,"Shanghai Publ Hlth Clin Ctr, Dept Radiol, 2501 Caolang Rd, Shanghai 201508, Peoples R China.
Shanghai Key Lab Mol Imaging, Shanghai, Peoples R China.
[ 1 ] Shanghai Publ Hlth Clin Ctr, Dept Radiol, 2501 Caolang Rd, Shanghai 201508, Peoples R China
[ 2 ] Shanghai Publ Hlth Clin Ctr, Dept Infect Dis, 2501 Caolang Rd, Shanghai 201508, Peoples R China
[ 3 ] Fudan Univ, Dept Principals Off, Shanghai, Peoples R China
[ 4 ] Univ Michigan, Ctr Canc, Ann Arbor, MI 48109 USA
[ 5 ] Shanghai Key Lab Mol Imaging, Shanghai, Peoples R China
",Emerging 2019 Novel Coronavirus (2019-nCoV) Pneumonia
,10.1111/jth.14781,,研究方向:Hematology; Cardiovascular System & Cardiology,文献类型:Editorial Material,出版年: APR 2020,,"作者:Lillicrap, D (Lillicrap, David)[ 1 ]",JOURNAL OF THROMBOSIS AND HAEMOSTASIS,"Queens Univ, Dept Pathol & Mol Med, Kingston, ON, Canada.
[ 1 ] Queens Univ, Dept Pathol & Mol Med, Kingston, ON, Canada
",Disseminated intravascular coagulation in patients with 2019-nCoV pneumonia
作者关键词:2019-nCoV; Outbreak; Community pharmacy; Pharmacist; Macau,10.1016/j.sapharm.2020.02.003,"摘要
The 2019-nCoV infection that is caused by a novel strain of coronavirus was first detected in China in the end of December 2019 and declared a public health emergency of international concern by the World Health Organization on January 30, 2020. Community pharmacists in one of the first areas that had confirmed cases of the viral infection, Macau, joined the collaborative force in supporting the local health emergency preparedness and response arrangements. This paper aimed to improve the understanding of community pharmacists' role in case of 2019-CoV outbreak based on the practical experiences in consultation with the recommendations made by the International Pharmaceutical Federation on the Coronavirus 2019-nCoV outbreak.","研究方向:Public, Environmental & Occupational Health; Pharmacology & Pharmacy",文献类型:Article,出版年: APR 2020,,"作者:Ung, COL (Ung, Carolina Oi Lam)[ 1 ]",RESEARCH IN SOCIAL & ADMINISTRATIVE PHARMACY,"Univ Macau, Inst Chinese Med Sci, State Key Lab Qual Res Chinese Med, Room 2058,N22 Bldg, Taipa, Macao, Peoples R China.
[ 1 ] Univ Macau, Inst Chinese Med Sci, State Key Lab Qual Res Chinese Med, Room 2058,N22 Bldg, Taipa, Macao, Peoples R China
",Community pharmacist in public health emergencies: Quick to action against the coronavirus 2019-nCoV outbreak
作者关键词:2019-nCoV; Epidemiology; Genomic; Therapeutic,10.1016/j.jinf.2020.02.010,"摘要
A novel coronavirus, designated as 2019-nCoV, hit the central Chinese city of Wuhan in late December 2019, and subsequently spread rapidly to all provinces of China and multiple countries. As of 0:00 am February 9, 2020, a total of 37,287 cases have been confirmed infection of 2019-nCoV in China mainland, and 302 cases have also been cumulatively reported from 24 countries. According to the latest data, a total of 813 deaths occurred in China mainland, with the mortality reaching approximately 2.2%. At present, there is no vaccine or specific drugs for the human coronavirus. Therefore, it is critical to understand the nature of the virus and its clinical characteristics, in order to respond to the 2019-nCoV outbreak. Thus, the present study briefly but comprehensively summarizes the not much but timely reports on the 2019-nCoV. (C) 2020 The British Infection Association. Published by Elsevier Ltd. All rights reserved.",研究方向:Infectious Diseases,文献类型:Review,出版年: APR 2020,National Natural Science Foundation of China,"作者:Han, QM (Han, Qingmei)[ 1,2,3 ] ; Lin, QQ (Lin, Qingqing)[ 1,2,3 ] ; Jin, SH (Jin, Shenhe)[ 4 ] ; You, LS (You, Liangshun)[ 1,2,3 ]",JOURNAL OF INFECTION,"Zhejiang Univ, Affiliated Hosp 1, Coll Med, Dept Hematol, 79 Qingchun Rd, Hangzhou 310003, Zhejiang, Peoples R China.
[ 1 ] Zhejiang Univ, Affiliated Hosp 1, Coll Med, Dept Hematol, 79 Qingchun Rd, Hangzhou 310003, Zhejiang, Peoples R China
[ 2 ] Zhejiang Univ, Affiliated Hosp 1, Coll Med, Malignant Lymphoma Diag & Therapy Ctr, Hangzhou 310003, Zhejiang, Peoples R China
[ 3 ] Zhejiang Univ, Inst Hematol, Hangzhou 31003, Zhejiang, Peoples R China
[ 4 ] Zhejiang Univ, Sir Run Run Shaw Hosp, Coll Med, Dept Hematol, Hangzhou 310009, Zhejiang, Peoples R China
",Coronavirus 2019-nCoV: A brief perspective from the front line
作者关键词:COVID-19; 2019-nCoV; Characteristics; Beijing,10.1016/j.jinf.2020.02.018,"摘要
Background: Since the first case of a novel coronavirus (COVID-19) infection pneumonia was detected in Wuhan, China, a series of confirmed cases of the COVID-19 were found in Beijing. We analyzed the data of 262 confirmed cases to determine the clinical and epidemiological characteristics of COVID-19 in Beijing.

Methods: We collected patients who were transferred by Beijing Emergency Medical Service to the designated hospitals. The information on demographic, epidemiological, clinical, laboratory test for the COVID19 virus, diagnostic classification, cluster case and outcome were obtained. Furthermore we compared the characteristics between severe and common confirmed cases which including mild cases, no-pneumonia cases and asymptomatic cases, and we also compared the features between COVID-19 and 2003 SARS.

Findings: By Feb 10, 2020, 262 patients were transferred from the hospitals across Beijing to the designated hospitals for special treatment of the COVID-19 infected by Beijing emergency medical service. Among of 262 patients, 46 (17.6%) were severe cases, 216 (82.4%) were common cases, which including 192 (73.3%) mild cases, 11(4.2%) non-pneumonia cases and 13 (5.0%) asymptomatic cases respectively. The median age of patients was 47.5 years old and 48.5% were male. 192 (73.3%) patients were residents of Beijing, 50 (26.0%) of which had been to Wuhan, 116 (60.4%) had close contact with confirmed cases, 21 (10.9%) had no contact history. The most common symptoms at the onset of illness were fever (82.1%), cough (45.8%), fatigue (26.3%), dyspnea (6.9%) and headache (6.5%). The median incubation period was 6.7 days, the interval time from between illness onset and seeing a doctor was 4.5 days. As of Feb 10, 17.2% patients have discharged and 81.7% patients remain in hospital in our study, the fatality of COVID-19 infection in Beijing was 0.9%.

Interpretation: On the basis of this study, we provided the ratio of the COVID-19 infection on the severe cases to the mild, asymptomatic and non-pneumonia cases in Beijing. Population was generally susceptible, and with a relatively low fatality rate. The measures to prevent transmission was very successful at early stage, the next steps on the COVID-19 infection should be focused on early isolation of patients and quarantine for close contacts in families and communities in Beijing. (C) 2020 The British Infection Association. Published by Elsevier Ltd. All rights reserved.",研究方向:Infectious Diseases,文献类型:Article,出版年: APR 2020,Beijing Municipal Science and Technology Project ,"作者:Tian, SJ (Tian, Sijia)[ 1 ] ; Hu, N (Hu, Nan)[ 2 ] ; Lou, J (Lou, Jing)[ 1 ] ; Chen, K (Chen, Kun)[ 3 ] ; Kang, XQ (Kang, Xuqin)[ 1 ] ; Xiang, ZJ (Xiang, Zhenjun)[ 2 ] ; Chen, H (Chen, Hui)[ 2 ] ; Wang, DL (Wang, Dali)[ 4 ] ; Liu, N (Liu, Ning)[ 5 ] ; Liu, D (Liu, Dong)[ 6 ] ...更多内容",JOURNAL OF INFECTION,"Beijing Emergency Med Ctr, Beijing Emergency Med Res Inst, Beijing 100031, Peoples R China.
[ 1 ] Beijing Emergency Med Ctr, Beijing Emergency Med Res Inst, Beijing 100031, Peoples R China
[ 2 ] Beijing Emergency Med Ctr, Beijing, Peoples R China
[ 3 ] Beijing Chao Yang Dist Emergency Med Ctr, Beijing, Peoples R China
[ 4 ] Beijing Haidian Dist Med Rescue Ctr, Beijing, Peoples R China
[ 5 ] Capital Med Univ, Beijing Luhe Hosp, Beijing, Peoples R China
[ 6 ] Beijing Dongcheng Dist Emergency Med Ctr, Beijing, Peoples R China
[ 7 ] Beijing Shijingshan Dist Hosp, Beijing, Peoples R China
[ 8 ] Beijing Daxing Dist Peoples Hosp, Beijing, Peoples R China
",Characteristics of COVID-19 infection in Beijing
,10.1016/j.jinf.2020.02.013,,研究方向:Infectious Diseases,文献类型:Letter,出版年: APR 2020,Henan Emergency Project for Prevention and Control of 2019 Novel Coronavirus ,"作者:Li, R (Li, Rui)[ 1 ] ; Qiao, S (Qiao, Songlin)[ 1 ] ; Zhang, G (Zhang, Gaiping)[ 1,2 ]",JOURNAL OF INFECTION,"Henan Acad Agr Sci, Key Lab Anim Immunol, Henan Prov Key Lab Anim Immunol, Minist Agr, Zhengzhou 450002, Peoples R China.
[ 1 ] Henan Acad Agr Sci, Key Lab Anim Immunol, Henan Prov Key Lab Anim Immunol, Minist Agr, Zhengzhou 450002, Peoples R China
[ 2 ] Henan Agr Univ, Coll Anim Sci & Vet Med, Zhengzhou 45002, Peoples R China
",Analysis of angiotensin-converting enzyme 2 (ACE2) from different species sheds some light on cross-species receptor usage of a novel coronavirus 2019-nCoV
作者关键词:2019-nCoV; COVID-19; WHO; PHEIC; radiology management,10.1016/j.acra.2020.02.003,"摘要
The outbreak of 2019 novel coronavirus (2019-nCoV) pneumonia was reported in Wuhan, Hubei Province, China in December 2019 and has spread internationally. This article discusses how radiology departments can most effectively respond to this public health emergency.","研究方向:Radiology, Nuclear Medicine & Medical Imaging",文献类型:Article,出版年: APR 2020,,"作者:Zhang, HW (Zhang, Han-Wen)[ 1 ] ; Yu, J (Yu, Juan)[ 1 ] ; Xu, HJ (Xu, Hua-Jian)[ 1 ] ; Lei, Y (Lei, Yi)[ 1 ] ; Pu, ZH (Pu, Zu-Hui)[ 1 ] ; Dai, WC (Dai, Wei-Cai)[ 1 ] ; Lin, F (Lin, Fan)[ 1 ] ; Wang, YL (Wang, Yu-Li)[ 1 ] ; Wu, XL (Wu, Xiao-Liu)[ 1 ] ; Liu, LH (Liu, Li-Hong)[ 1 ] ...更多内容",ACADEMIC RADIOLOGY,"Shenzhen Univ, Shenzhen Peoples Hosp 2, Hlth Sci Ctr, Dept Radiol,Affiliated Hosp 1, 3002 SunGangXi Rd, Shenzhen 518035, Peoples R China.
[ 1 ] Shenzhen Univ, Shenzhen Peoples Hosp 2, Hlth Sci Ctr, Dept Radiol,Affiliated Hosp 1, 3002 SunGangXi Rd, Shenzhen 518035, Peoples R China
",Corona Virus International Public Health Emergencies: Implications for Radiology Management
,10.1016/j.tim.2020.02.001,"摘要
A novel coronavirus has caused thousands of human infections in China since December 2019, raising a global public health concern. Recent studies (Huang et al., Chan et al., and Zhou et al.) have provided timely insights into its origin and ability to spread among humans, informing infection prevention and control practices.",研究方向:Biochemistry & Molecular Biology; Microbiology,文献类型:Editorial Material,出版年: APR 2020,,"作者:Xu, YF (Xu, Yifei)[ 1 ]",TRENDS IN MICROBIOLOGY,"Univ Oxford, Nuffield Dept Med, Oxford, England.
[ 1 ] Univ Oxford, Nuffield Dept Med, Oxford, England
",Unveiling the Origin and Transmission of 2019-nCoV
,10.1148/radiol.2020200241,,"研究方向:Radiology, Nuclear Medicine & Medical Imaging",文献类型:Editorial Material,出版年: APR 2020,,"作者:Kanne, JP (Kanne, Jeffrey P.)[ 1 ]",RADIOLOGY,"Univ Wisconsin, Dept Radiol, Sch Med & Publ Hlth, 600 Highland Ave, Madison, WI 53792 USA.
[ 1 ] Univ Wisconsin, Dept Radiol, Sch Med & Publ Hlth, 600 Highland Ave, Madison, WI 53792 USA
","Chest CT Findings in 2019 Novel Coronavirus (2019-nCoV) Infections from Wuhan, China: Key Points for the Radiologist"
,10.1148/radiol.2020200236,,"研究方向:Radiology, Nuclear Medicine & Medical Imaging",文献类型:Editorial Material,出版年: APR 2020,,"作者:Lei, JQ (Lei, Junqiang)[ 1 ] ; Li, JF (Li, Junfeng)[ 1 ] ; Li, X (Li, Xun)[ 1 ] ; Qi, XL (Qi, Xiaolong)[ 1 ]",RADIOLOGY,"Lanzhou Univ, 2019 NCoV Investigating & Res Team, Hosp 1, 1 Donggang West Rd, Lanzhou 730000, Peoples R China.
[ 1 ] Lanzhou Univ, 2019 NCoV Investigating & Res Team, Hosp 1, 1 Donggang West Rd, Lanzhou 730000, Peoples R China
",CT Imaging of the 2019 Novel Coronavirus (2019-nCoV) Pneumonia
