abstract,KeyWords,type,jounary,DOI,title,author,category,fund,public_date,author info
,,文献类型:Editorial Material; Early Access,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,10.1007/s00167-020-06024-2,Being a foot and ankle surgeon in Italy in the era of COVID-19,"作者:Usuelli, FG (Usuelli, Federico Giuseppe)[ 1 ] ; D'Ambrosi, R (D'Ambrosi, Riccardo)[ 2 ]",研究方向:Orthopedics; Sport Sciences; Surgery,,APR 2020,"IRCCS Ist Ortoped Galeazzi, Via Galeazzi 4, I-20161 Milan, Italy.
[ 1 ] Humanitas San Pio X, Milan, Italy
[ 2 ] IRCCS Ist Ortoped Galeazzi, Via Galeazzi 4, I-20161 Milan, Italy
"
"摘要
Detailed clinical and virologic characteristics of the first 12 individuals with COVID-19 in the United States from the US Centers for Disease Control and Prevention.

Data on the detailed clinical progression of COVID-19 in conjunction with epidemiological and virological characteristics are limited. In this case series, we describe the first 12 US patients confirmed to have COVID-19 from 20 January to 5 February 2020, including 4 patients described previously(1-3). Respiratory, stool, serum and urine specimens were submitted for SARS-CoV-2 real-time reverse-transcription polymerase chain reaction (rRT-PCR) testing, viral culture and whole genome sequencing. Median age was 53 years (range: 21-68); 8 patients were male. Common symptoms at illness onset were cough (n = 8) and fever (n = 7). Patients had mild to moderately severe illness; seven were hospitalized and demonstrated clinical or laboratory signs of worsening during the second week of illness. No patients required mechanical ventilation and all recovered. All had SARS-CoV-2 RNA detected in respiratory specimens, typically for 2-3 weeks after illness onset. Lowest real-time PCR with reverse transcription cycle threshold values in the upper respiratory tract were often detected in the first week and SARS-CoV-2 was cultured from early respiratory specimens. These data provide insight into the natural history of SARS-CoV-2. Although infectiousness is unclear, highest viral RNA levels were identified in the first week of illness. Clinicians should anticipate that some patients may worsen in the second week of illness.",,文献类型:Article; Early Access,NATURE MEDICINE,10.1038/s41591-020-0877-5,Clinical and virologic characteristics of the first 12 patients with coronavirus disease 2019 (COVID-19) in the United States,团体作者: COVID 19 Investigation,研究方向:Biochemistry & Molecular Biology; Cell Biology; Research & Experimental Medicine,,APR 2020,
"摘要
We investigated SARS-CoV-2 potential tropism by surveying expression of viral entry-associated genes in single-cell RNA-sequencing data from multiple tissues from healthy human donors. We co-detected these transcripts in specific respiratory, corneal and intestinal epithelial cells, potentially explaining the high efficiency of SARS-CoV-2 transmission. These genes are co-expressed in nasal epithelial cells with genes involved in innate immunity, highlighting the cells' potential role in initial viral infection, spread and clearance. The study offers a useful resource for further lines of inquiry with valuable clinical samples from COVID-19 patients and we provide our data in a comprehensive, open and user-friendly fashion at www.covid19cellatlas.org.",,文献类型:Article; Early Access,NATURE MEDICINE,10.1038/s41591-020-0868-6,SARS-CoV-2 entry factors are highly expressed in nasal epithelial cells together with innate immune genes,"作者:Sungnak, W (Sungnak, Waradon)[ 1 ] ; Huang, N (Huang, Ni)[ 1 ] ; Becavin, C (Becavin, Christophe)[ 2 ] ; Berg, M (Berg, Marijn)[ 3,4,5 ] ; Queen, R (Queen, Rachel)[ 6 ] ; Litvinukova, M (Litvinukova, Monika)[ 1,7 ] ; Talavera-Lopez, C (Talavera-Lopez, Carlos)[ 1 ] ; Maatz, H (Maatz, Henrike)[ 7 ] ; Reichart, D (Reichart, Daniel)[ 8 ] ; Sampaziotis, F (Sampaziotis, Fotios)[ 9,10,11 ] ...更多内容",研究方向:Biochemistry & Molecular Biology; Cell Biology; Research & Experimental Medicine,Wellcome Sanger Institute ,APR 2020,"Wellcome Sanger Inst, Cambridge, England.
[ 1 ] Wellcome Sanger Inst, Cambridge, England
[ 2 ] Univ Cote Azur, CNRS, IPMC, Sophia Antipolis, France
[ 3 ] Univ Groningen, Univ Med Ctr Groningen, Dept Pathol & Med Biol, Groningen, Netherlands
[ 4 ] Univ Groningen, Univ Med Ctr Groningen, Groningen Res Inst Asthma, Groningen, Netherlands
[ 5 ] Univ Groningen, Univ Med Ctr Groningen, COPD, Groningen, Netherlands
[ 6 ] Newcastle Univ, Fac Med Sci, Biosci Inst, Bioinformat Core Facil, Newcastle Upon Tyne, Tyne & Wear, England
[ 7 ] Helmholtz Assoc MDC, Max Delbruck Ctr Mol Med, Cardiovasc & Metab Sci, Berlin, Germany
[ 8 ] Harvard Med Sch, Dept Genet, Boston, MA 02115 USA
[ 9 ] Univ Cambridge, Wellcome & MRC Cambridge Stem Cell Inst, Cambridge, England
[ 10 ] Addenbrookes Hosp, Dept Med, Cambridge, England
[ 11 ] Cambridge Univ Hosp, Cambridge Liver Unit, Cambridge, England
[ 12 ] UCL, Div Med, UCL Resp, London, England
"
,,文献类型:Editorial Material; Early Access,NATURE REVIEWS ENDOCRINOLOGY,10.1038/s41574-020-0364-6,Obesity and impaired metabolic health in patients with COVID-19,"作者:Stefan, N (Stefan, Norbert)[ 1,2,3,4 ] ; Birkenfeld, AL (Birkenfeld, Andreas L.)[ 1,2,3,5 ] ; Schulze, MB (Schulze, Matthias B.)[ 3,6 ] ; Ludwig, DS (Ludwig, David S.)[ 4,7,8 ]",研究方向:Endocrinology & Metabolism,,APR 2020,"Helmholtz Ctr Munich, Inst Diabet Res & Metab Dis IDM, Tubingen, Germany.
Univ Hosp Tubingen, Dept Internal Med 4, Div Endocrinol Diabetol & Nephrol, Tubingen, Germany.
German Ctr Diabet Res DZD, Neuherberg, Germany.
Harvard Med Sch, Dept Pediat, Boston, MA 02115 USA.
[ 1 ] Helmholtz Ctr Munich, Inst Diabet Res & Metab Dis IDM, Tubingen, Germany
[ 2 ] Univ Hosp Tubingen, Dept Internal Med 4, Div Endocrinol Diabetol & Nephrol, Tubingen, Germany
[ 3 ] German Ctr Diabet Res DZD, Neuherberg, Germany
[ 4 ] Harvard Med Sch, Dept Pediat, Boston, MA 02115 USA
[ 5 ] Kings Coll London, Dept Diabet, Sch Life Course Sci, London, England
[ 6 ] German Inst Human Nutr Potsdam Rehbrucke, Dept Mol Epidemiol, Nuthetal, Germany
[ 7 ] Harvard TH Chan Sch Publ Hlth, Dept Nutr, Boston, MA USA
[ 8 ] Boston Childrens Hosp, New Balance Fdn Obes Prevent Ctr, Boston, MA USA
"
,,文献类型:Editorial Material; Early Access,DRUG DEVELOPMENT RESEARCH,10.1002/ddr.21674,COVID-19 transmission through host cell directed network of GPCR,"作者:Singh, Y (Singh, Yogendra)[ 1 ] ; Gupta, G (Gupta, Gaurav)[ 2 ] ; Satija, S (Satija, Saurabh)[ 3,4 ] ; Pabreja, K (Pabreja, Kavita)[ 4 ] ; Chellappan, DK (Chellappan, Dinesh Kumar)[ 5 ] ; Dua, K (Dua, Kamal)[ 3,6,7,8,9 ]",研究方向:Pharmacology & Pharmacy,,APR 2020,"Suresh Gyan Vihar Univ, Sch Pharm, Mahal Rd, Jaipur, Rajasthan, India.
[ 1 ] Mahatma Gandhi Coll Pharmaceut Sci, Dept Pharmacol, Jaipur, Rajasthan, India
[ 2 ] Suresh Gyan Vihar Univ, Sch Pharm, Mahal Rd, Jaipur, Rajasthan, India
[ 3 ] Univ Technol Sydney, Grad Sch Hlth, Discipline Pharm, Ultimo, NSW, Australia
[ 4 ] Lovely Profess Univ, Sch Pharmaceut Sci, Phagwara, Punjab, India
[ 5 ] Int Med Univ, Sch Pharm, Dept Life Sci, Kuala Lumpur, Malaysia
[ 6 ] Centenary Inst, Ctr Inflammat, Sydney, NSW, Australia
[ 7 ] Univ Newcastle UoN, Prior Res Ctr Hlth Lungs, HMRI, Callaghan, NSW, Australia
[ 8 ] Univ Newcastle UoN, Sch Biomed Sci & Pharm, Callaghan, NSW, Australia
[ 9 ] Shoolini Univ, Sch Pharmaceut Sci, Solan 173212, Himachal Prades, India
"
,,文献类型:Editorial Material,CRITICAL CARE,167,Managing COVID-19 in resource-limited settings: critical care considerations,"作者:Siow, WT (Siow, Wen Ting)[ 1,2 ] ; Liew, MF (Liew, Mei Fong)[ 1,2 ] ; Shrestha, BR (Shrestha, Babu Raja)[ 3 ] ; Muchtar, F (Muchtar, Faisal)[ 4 ] ; See, KC (See, Kay Choong)[ 1 ]",研究方向:General & Internal Medicine,,出版年: APR 22 2020,"Natl Univ Hlth Syst, Univ Med Cluster, Div Resp & Crit Care Med, 1E Kent Ridge Rd, Singapore 119228, Singapore.
Natl Univ Hlth Syst, Alexandra Hosp, Fast & Chron Programmes, Queenstown, Singapore.
[ 1 ] Natl Univ Hlth Syst, Univ Med Cluster, Div Resp & Crit Care Med, 1E Kent Ridge Rd, Singapore 119228, Singapore
[ 2 ] Natl Univ Hlth Syst, Alexandra Hosp, Fast & Chron Programmes, Queenstown, Singapore
[ 3 ] Kathmandu Med Coll & Teaching Hosp, Dept Anaesthesia, Kathmandu, Nepal
[ 4 ] Hasanuddin Univ, Fac Med, Dept Anesthesiol Intens Care & Pain Management, Makassar, South Sulawesi, Indonesia
"
,,文献类型:Editorial Material,CRITICAL CARE,165,"Clinical ethics recommendations for the allocation of intensive care treatments in exceptional, resource-limited circumstances: the Italian perspective during the COVID-19 epidemic","作者:Vergano, M (Vergano, Marco)[ 1 ] ; Bertolini, G (Bertolini, Guido)[ 2 ] ; Giannini, A (Giannini, Alberto)[ 1 ] ; Gristina, GR (Gristina, Giuseppe R.)[ 1 ] ; Livigni, S (Livigni, Sergio)[ 1 ] ; Mistraletti, G (Mistraletti, Giovanni)[ 1 ] ; Riccioni, L (Riccioni, Luigi)[ 1 ] ; Petrini, F (Petrini, Flavia)[ 1 ]",研究方向:General & Internal Medicine,,出版年: APR 22 2020,"Soc Italiana Anestesia Analgesia Rianimaz & Terap, Viale Univ 11, I-00185 Rome, Italy.
[ 1 ] Soc Italiana Anestesia Analgesia Rianimaz & Terap, Viale Univ 11, I-00185 Rome, Italy
[ 2 ] Ist Ric Farmacol Mario Negri IRCCS, Dipartimento Salute Pubbl, Lab Epidmiol Clin, Milan, Italy
"
"摘要
Objectives To investigate the different CT characteristics which may distinguish influenza from 2019 coronavirus disease (COVID-19). Methods A total of 13 confirmed patients with COVID-19 were enrolled from January 16, 2020, to February 25, 2020. Furthermore, 92 CT scans of confirmed patients with influenza pneumonia, including 76 with influenza A and 16 with influenza B, scanned between January 1, 2019, to February 25, 2020, were retrospectively reviewed. Pulmonary lesion distributions, number, attenuation, lobe predomination, margin, contour, ground-glass opacity involvement pattern, bronchial wall thickening, air bronchogram, tree-in-bud sign, interlobular septal thickening, intralobular septal thickening, and pleural effusion were evaluated in COVID-19 and influenza pneumonia cohorts. Results Peripheral and non-specific distributions in COVID-19 showed a markedly higher frequency compared with the influenza group (p < 0.05). Most lesions in COVID-19 showed balanced lobe localization, while in influenza pneumonia they were predominantly located in the inferior lobe (p < 0.05). COVID-19 presented a clear lesion margin and a shrinking contour compared with influenza pneumonia (p < 0.05). COVID-19 had a patchy or combination of GGO and consolidation opacities, while a cluster-like pattern and bronchial wall thickening were more frequently seen in influenza pneumonia (p < 0.05). The lesion number and attenuation, air bronchogram, tree-in-bud sign, interlobular septal thickening, and intralobular septal thickening were not significantly different between the two groups (all p > 0.05). Conclusions Though viral pneumonias generally show similar imaging features, there are some characteristic CT findings which may help differentiating COVID-19 from influenza pneumonia.",作者关键词:Coronavirus; Influenza; Pneumonia; Virus; Tomography; X-ray,文献类型:Article; Early Access,EUROPEAN RADIOLOGY,10.1007/s00330-020-06880-z,Characteristic CT findings distinguishing 2019 novel coronavirus disease (COVID-19) from influenza pneumonia,"作者:Wang, H (Wang, Hao)[ 1 ] ; Wei, R (Wei, Ran)[ 1 ] ; Rao, GH (Rao, Guihua)[ 2 ] ; Zhu, J (Zhu, Jie)[ 1 ] ; Song, B (Song, Bin)[ 1 ]","研究方向:Radiology, Nuclear Medicine & Medical Imaging",,APR 2020,"Fudan Univ, Minhang Hosp, Dept Radiol, 170 Xinsong Rd, Shanghai 201199, Peoples R China.
[ 1 ] Fudan Univ, Minhang Hosp, Dept Radiol, 170 Xinsong Rd, Shanghai 201199, Peoples R China
[ 2 ] Fudan Univ, Minhang Hosp, Dept Clin Lab, 170 Xinsong Rd, Shanghai 201199, Peoples R China
"
,,文献类型:Editorial Material,CELL SYSTEMS,10.1016/j.cels.2020.03.007,Keeping the Wheels of the Scientific Endeavor Turning during the COVID-19 Pandemic,"作者:Justman, Q (Justman, Quincey)",研究方向:Biochemistry & Molecular Biology; Cell Biology,,出版年: APR 22 2020,
,,文献类型:Editorial Material; Early Access,JOURNAL OF GENERAL INTERNAL MEDICINE,10.1007/s11606-020-05852-9,From the Editor's Desk: JGIM and COVID-19,"作者:Bates, CK (Bates, Carol K.)[ 1 ] ; Jackson, J (Jackson, Jeff)[ 2 ] ; Asch, S (Asch, Steven)[ 3 ]",研究方向:Health Care Sciences & Services; General & Internal Medicine,,APR 2020,"Harvard Med Sch, Boston, MA 02115 USA.
[ 1 ] Harvard Med Sch, Boston, MA 02115 USA
[ 2 ] Med Coll Wisconsin, Wauwatosa, WI USA
[ 3 ] Stanford Univ, Sch Med, Stanford, CA 94305 USA
"
"摘要
Radiographic patterns on CT chest scans have shown higher sensitivity and specificity compared to RT-PCR detection of COVID-19 which, according to the WHO has a relatively low positive detection rate in the early stages. We technically review a study that compared multiple convolutional neural network (CNN) models to classify CT samples with COVID-19, Influenza viral pneumonia, or no-infection. We compare this mentioned study with one that is developed on existing 2D and 3D deep-learning models, combining them with the latest clinical understanding, and achieved an AUC of 0.996 (95%CI: 0.989-1.00) for Coronavirus vs Non-coronavirus cases per thoracic CT studies. They calculated a sensitivity of 98.2% and a specificity of 92.2%.",作者关键词:Pandemic; Viral pneumonias; Convolutional neural networks; Deep learing,文献类型:Article; Early Access,APPLIED INTELLIGENCE,10.1007/s10489-020-01714-3,Deep learning system to screen coronavirus disease 2019 pneumonia,"作者:Butt, C (Butt, Charmaine)[ 1 ] ; Gill, J (Gill, Jagpal)[ 1 ] ; Chun, D (Chun, David)[ 2 ] ; Babu, BA (Babu, Benson A.)[ 1,2 ]",研究方向:Computer Science,,APR 2020,"St Johns Episcopal Hosp, New York, NY 11691 USA.
Glen Cove Northwell Hlth, Glen Cove, NY 11542 USA.
[ 1 ] St Johns Episcopal Hosp, New York, NY 11691 USA
[ 2 ] Glen Cove Northwell Hlth, Glen Cove, NY 11542 USA
"
"摘要
At the beginning of the 21st century, a new deadly infectious disease known as severe acute respiratory syndrome (SARS) was recognized as a global public health threat. Subsequently, ten years after the initial SARS cases occurred in 2002, new cases of another atypical respiratory disease caused worldwide concern. This disease became known as Middle East respiratory syndrome (MERS) and was even more lethal than SARS. Currently, history has repeated itself with the emergence of a new Chinese epidemic at the end of 2019. For this respiratory disease, called COVID-19, a novel coronavirus (SARS-CoV-2) was identified as the etiologic agent. In sum, SARS, MERS and COVID-19 are caused by recently discovered coronaviruses that cause flu-like illnesses, but with a clinical outcome that tends to be more severe. As a result of the current importance of coronaviruses in global public health, we conducted a review to summarize and update, above all, the epidemiological historical aspects of the three major diseases in humans caused by coronaviral infection.",,文献类型:Review; Early Access,ARCHIVES OF VIROLOGY,10.1007/s00705-020-04628-0,"The emergence of SARS, MERS and novel SARS-2 coronaviruses in the 21st century","作者:da Costa, VG (da Costa, Vivaldo Gomes)[ 1 ] ; Moreli, ML (Moreli, Marcos Lazaro)[ 2 ] ; Saivish, MV (Saivish, Marielena Vogel)[ 2 ]",研究方向:Virology,National Council for Scientific and Technological Development (CNPq),APR 2020,"Univ Brasilia, Dept Cellular Biol, Brasilia, DF, Brazil.
Fed Univ Jatai, Special Acad Unit Hlth Sci, Jatai, Go, Brazil.
[ 1 ] Univ Brasilia, Dept Cellular Biol, Brasilia, DF, Brazil
[ 2 ] Fed Univ Jatai, Special Acad Unit Hlth Sci, Jatai, Go, Brazil
"
,,文献类型:Letter; Early Access,CANADIAN JOURNAL OF ANESTHESIA-JOURNAL CANADIEN D ANESTHESIE,10.1007/s12630-020-01666-9,Safer intubation and extubation of patients with COVID-19,"作者:Asenjo, JF (Asenjo, Juan Francisco)[ 1 ]",研究方向:Anesthesiology,,APR 2020,"McGill Univ, Dept Anesthesia, Montreal Gen Hosp, Montreal, PQ, Canada.
[ 1 ] McGill Univ, Dept Anesthesia, Montreal Gen Hosp, Montreal, PQ, Canada
"
,,文献类型:Correction; Early Access,CANADIAN JOURNAL OF ANESTHESIA-JOURNAL CANADIEN D ANESTHESIE,10.1007/s12630-020-01674-9,"COVID-19 pandemic: the 3R's (reduce, refine, and replace) of personal protective equipment (PPE) sustainability (vol 34, pg 817, 2020)","作者:Ip, V (Ip, Vivian)[ 1 ] ; Ozelsel, TJP (Ozelsel, Timur J. P.)[ 1 ] ; Sondekoppam, RV (Sondekoppam, Rakesh V.)[ 2 ] ; Tsui, BCH (Tsui, Ban C. H.)[ 3 ]",研究方向:Anesthesiology,,APR 2020,"Stanford Univ, Sch Med, Dept Anesthesiol Perioperat & Pain Med, Palo Alto, CA 94304 USA.
[ 1 ] Univ Alberta, Dept Anesthesia & Pain Med, Edmonton, AB, Canada
[ 2 ] Univ Iowa Hosp, Dept Anesthesia, Iowa City, IA USA
[ 3 ] Stanford Univ, Sch Med, Dept Anesthesiol Perioperat & Pain Med, Palo Alto, CA 94304 USA
"
,,文献类型:Letter; Early Access,CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY,10.1007/s00270-020-02470-0,Contribution of Interventional Radiology to the Management of COVID-19 patient,"作者:Monfardini, L (Monfardini, Lorenzo)[ 1 ] ; Sallemi, C (Sallemi, Claudio)[ 1 ] ; Gennaro, N (Gennaro, Nicolo)[ 2 ] ; Pedicini, V (Pedicini, Vittorio)[ 3 ] ; Bna, C (Bna, Claudio)[ 1 ]","研究方向:Cardiovascular System & Cardiology; Radiology, Nuclear Medicine & Medical Imaging",,APR 2020,"Humanitas Univ, Radiol Residency Program, Via RL Montalcini 4, I-20090 Pieve Emanuele, Italy.
[ 1 ] Fdn Poliambulanza Ist Osped, Dept Radiol, Brescia, Italy
[ 2 ] Humanitas Univ, Radiol Residency Program, Via RL Montalcini 4, I-20090 Pieve Emanuele, Italy
[ 3 ] Humanitas Clin & Res Hosp, Dept Radiol, Rozzano, Italy
"
"摘要
In this contribution, I discuss potential risk to the health of people with disabilities in residential care institutions during the COVID-19 outbreak by looking at evidence from Romania. As an academic who has studied deinstitutionalization of services for people with disabilities in Romania, I argue that residential care institutions for people with disabilities are at risk of becoming sites for community contagion with COVID-19. These institutions are often located in remote and economically peripheral areas of the country that have been characterized by high rates of outmigration. Now, these are becoming areas of intense return migration. Community contagion in adjacent locations can easily spill over to residential institutions through care and health workers' trajectories. Once spread to residential institutions, COVID-19 has a high chance of adversely affecting the health of residents with disabilities. It is vital to ensure disabled people's health and wellbeing through adequate contagion prevention measures.",作者关键词:right to health; COVID-19; residential institutions; migration; Romania; disability,文献类型:Article; Early Access,DISABILITY & SOCIETY,10.1080/09687599.2020.1754766,Challenges posed by COVID-19 to the health of people with disabilities living in residential care facilities in Romania,"作者:Safta-Zecheria, L (Safta-Zecheria, Leyla)[ 1,2 ]",研究方向:Rehabilitation; Social Sciences - Other Topics,,APR 2020,"West Univ, Educ Sci Dept, Timisoara, Romania.
New Europe Coll, Bucharest, Romania.
[ 1 ] West Univ, Educ Sci Dept, Timisoara, Romania
[ 2 ] New Europe Coll, Bucharest, Romania
"
"摘要
Purpose The role of tracheostomy in COVID-19-related ARDS is unknown. Nowadays, there is no clear indication regarding the timing of tracheostomy in these patients. Methods We describe our synergic experience between ENT and ICU Departments at University Hospital of Modena underlining some controversial aspects that would be worth discussing tracheostomies in these patients. During the last 2 weeks, we performed 28 tracheostomies on patients with ARDS due to COVID-19 infection who were treated with IMV. Results No differences between percutaneous and surgical tracheostomy in terms of timing and no case of team virus infection. Conclusion In our experience, tracheostomy should be performed only in selected patients within 7- and 14-day orotracheal intubation.",作者关键词:COVID-19; Tracheostomy; Invasive mechanic ventilation,文献类型:Article; Early Access,EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,10.1007/s00405-020-05982-0,Tracheostomy in the COVID-19 pandemic,"作者:Mattioli, F (Mattioli, Francesco)[ 1 ] ; Fermi, M (Fermi, Matteo)[ 1 ] ; Ghirelli, M (Ghirelli, Michael)[ 1 ] ; Molteni, G (Molteni, Gabriele)[ 3 ] ; Sgarbi, N (Sgarbi, Nicola)[ 2 ] ; Bertellini, E (Bertellini, Elisabetta)[ 2 ] ; Girardis, M (Girardis, Massimo)[ 2 ] ; Presutti, L (Presutti, Livio)[ 1 ] ; Marudi, A (Marudi, Andrea)[ 2 ]",研究方向:Otorhinolaryngology,,APR 2020,"Univ Hosp Modena, Otolaryngol Head & Neck Surg Dept, Via Pozzo 71, I-41100 Modena, Italy.
[ 1 ] Univ Hosp Modena, Otolaryngol Head & Neck Surg Dept, Via Pozzo 71, I-41100 Modena, Italy
[ 2 ] Univ Hosp Modena, Dept Anesthesiol, Via Pozzo 71, I-41100 Modena, Italy
[ 3 ] Univ Verona, Head & Neck Dept, Verona, Italy
"
,作者关键词:COVID-19; Older people; Sub-Saharan Africa,文献类型:Letter; Early Access,EUROPEAN GERIATRIC MEDICINE,10.1007/s41999-020-00324-z,Coping with the COVID-19 crisis in Sub-Saharan Africa: let us not leave older people behind!,"作者:Drame, M (Drame, Moustapha)[ 1,2 ] ; Godaert, L (Godaert, Lidvine)[ 3 ] ; Callixte, KT (Callixte, Kuate Tegueu)[ 4 ] ; Ecarnot, F (Ecarnot, Fiona)[ 5,6 ] ; Simo-Tabue, N (Simo-Tabue, Nadine)[ 7 ] ; Teguo, MT (Teguo, Maturin Tabue)[ 7,8,9 ]",研究方向:Geriatrics & Gerontology,,APR 2020,"Univ French West Indies, Fac Med, Fort De France, Martinique, France.
Pierre Zobda Quitman Hosp, Dept Clin Res & Innovat, Univ Hosp Martinique, CS 90632, F-97261 Fort De France, Martinique, France.
[ 1 ] Univ French West Indies, Fac Med, Fort De France, Martinique, France
[ 2 ] Pierre Zobda Quitman Hosp, Dept Clin Res & Innovat, Univ Hosp Martinique, CS 90632, F-97261 Fort De France, Martinique, France
[ 3 ] Gen Hosp Valenciennes, Dept Geriatr, Valenciennes, France
[ 4 ] Univ Yaounde I, Dept Internal Med & Specialties, Fac Med & Biomed Sci, Yaounde, Cameroon
[ 5 ] Univ Franche Comte, Univ Hosp Besancon, Dept Cardiol, Besancon, France
[ 6 ] Univ Franche Comte, EA3920, Besancon, France
[ 7 ] Univ Hosp Guadeloupe, Dept Geriatr, Pointe A Pitre, Guadeloupe, France
[ 8 ] Univ French West Indies, LAMIA Res Team, Pointe A Pitre, Guadeloupe, France
[ 9 ] Univ Bordeaux, INSERM, U1219, Bordeaux, France
"
"摘要
Background/objectives To evaluate the prevalence of malnutrition and its related factors in elderly patients with COVID-19 in Wuhan, China. Subjects/methods In a cross-sectional study, we evaluated the nutritional status of elderly inpatients with COVID-19 using the Mini Nutritional Assessment (MNA). Based on MNA scores, patients were divided into non-malnutrition group (MNA >= 24), the group with risk of malnutrition (MNA 17-23.5) and malnutrition group (MNA score < 17). Regression analysis was conducted to screen for risk factors for malnutrition. Results A total of 182 patients were included in the study, of which 27.5% were in the group with malnutrition risk and 52.7% were in the malnutrition group. There were statistical differences in the incidence of comorbid diabetes mellitus, body mass index (BMI), calf circumference,albumin, hemoglobin, and lymphocyte counts among the three groups. Further regression analysis suggested that combined diabetes, low calf circumference, and low albumin were independent risk factors for malnutrition. Conclusions The prevalence of malnutrition in elderly patients with COVID-19 was high, and nutritional support should be strengthened during treatment, especially for those with diabetes mellitus, low calf circumference, or low albumin.",,文献类型:Article; Early Access,EUROPEAN JOURNAL OF CLINICAL NUTRITION,10.1038/s41430-020-0642-3,"Prevalence of malnutrition and analysis of related factors in elderly patients with COVID-19 in Wuhan, China","作者:Li, T (Li, Tao)[ 1 ] ; Zhang, YL (Zhang, Yalan)[ 1 ] ; Gong, C (Gong, Cheng)[ 1 ] ; Wang, J (Wang, Jing)[ 1 ] ; Liu, B (Liu, Bao)[ 1 ] ; Shi, L (Shi, Li)[ 1 ] ; Duan, J (Duan, Jun)[ 1 ]",研究方向:Nutrition & Dietetics,,APR 2020,"China Japan Friendship Hosp, Beijing, Peoples R China.
[ 1 ] China Japan Friendship Hosp, Beijing, Peoples R China
"
,,文献类型:Letter; Early Access,GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY,10.1007/s00417-020-04697-6,Communicating with patients with nAMD and their families during the COVID-19 pandemic,"作者:Korobelnik, JF (Korobelnik, Jean-Francois)[ 1,2 ] ; Loewenstein, A (Loewenstein, Anat)[ 3 ]",研究方向:Ophthalmology,"Bayer Consumer Care AG, Switzerland ",APR 2020,"CHU Bordeaux, Serv Ophtalmol, Bordeaux, France.
Univ Bordeaux, INSERM, Bordeaux Populat Hlth Res Ctr, Team LEHA,UMR 1219, F-33000 Bordeaux, France.
[ 1 ] CHU Bordeaux, Serv Ophtalmol, Bordeaux, France
[ 2 ] Univ Bordeaux, INSERM, Bordeaux Populat Hlth Res Ctr, Team LEHA,UMR 1219, F-33000 Bordeaux, France
[ 3 ] Tel Aviv Univ, Div Ophthalmol, Tel Aviv Med Ctr, Sackler Fac Med, Tel Aviv, Israel
"
,,文献类型:Letter; Early Access,GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY,10.1007/s00417-020-04683-y,Protective shields for ophthalmic equipment to minimise droplet transmission of COVID-19,"作者:Wong, DHT (Wong, Daniel H. T.)[ 1,2 ] ; Mak, ST (Mak, Shiu Ting)[ 1,2 ] ; Yip, NKF (Yip, Nelson K. F.)[ 1,2 ] ; Li, KKW (Li, Kenneth K. W.)[ 1,2 ]",研究方向:Ophthalmology,,APR 2020,"United Christian Hosp, Dept Ophthalmol, 130 Hip Wo St, Hong Kong, Peoples R China.
Tseung Kwan O Hosp, Dept Ophthalmol, Hong Kong, Peoples R China.
[ 1 ] United Christian Hosp, Dept Ophthalmol, 130 Hip Wo St, Hong Kong, Peoples R China
[ 2 ] Tseung Kwan O Hosp, Dept Ophthalmol, Hong Kong, Peoples R China
"
